incident_id,timestamp,severity,category,service,region,environment,title,description,root_cause,resolution,resolution_time_min,sla_breach,txn_count_affected,mas_reporting_flag,assigned_to,team,runbook_id
INC-20230119-031,2023-01-19 14:39:00,P2,FX Feed,reuters-adapter-sg,Singapore,Production,FX Feed issue on reuters-adapter-sg — Singapore Production,P2 alert: FX Feed degradation detected on reuters-adapter-sg in Singapore Production at 14:39 SGT.,Reuters RMDS adapter lost TCP connection to primary feed server — no automatic reconnect configured,Manually restarted Reuters RMDS adapter. Configured automatic reconnect with exponential backoff. Stable after 12 min.,44,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230122-077,2023-01-22 22:34:00,P3,SWIFT Queue,swift-mq-sg-01,Singapore,Production,SWIFT Queue issue on swift-mq-sg-01 — Singapore Production,P3 alert: SWIFT Queue degradation detected on swift-mq-sg-01 in Singapore Production at 22:34 SGT.,SWIFT ACK processor deadlocked waiting for a lock held by a message redelivery thread,Restarted ACK processor — deadlock resolved on restart. Added deadlock detection timeout of 60s to config.,36,No,1238,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230202-091,2023-02-02 14:05:00,P2,Payment Gateway,payment-gateway-sg,Singapore,Production,Payment Gateway issue on payment-gateway-sg — Singapore Production,P2 alert: Payment Gateway degradation detected on payment-gateway-sg in Singapore Production at 14:05 SGT.,Rate limiting triggered on the gateway after batch re-submission of 2000 failed transactions within 5 minutes,Removed rate limit temporarily via gateway admin API. Re-submitted transactions in controlled batches of 100.,28,No,2253,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230207-105,2023-02-07 10:50:00,P3,Payment Gateway,visa-adapter-sg,Singapore,Production,Payment Gateway issue on visa-adapter-sg — Singapore Production,P3 alert: Payment Gateway degradation detected on visa-adapter-sg in Singapore Production at 10:50 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",27,No,118,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230220-020,2023-02-20 22:40:00,P2,Batch Job,eod-reconciliation,Hong Kong,Production,Batch Job issue on eod-reconciliation — Hong Kong Production,P2 alert: Batch Job degradation detected on eod-reconciliation in Hong Kong Production at 22:40 SGT.,EOD reconciliation batch timed out — source data extract took 3x longer than SLA due to missing index on trade table,Added missing index on trade_date column in trade table. Re-ran batch — completed in 18 min vs 3-hour timeout.,11,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230222-102,2023-02-22 15:50:00,P3,Application Error,mobile-banking-api,Singapore,Production,Application Error issue on mobile-banking-api — Singapore Production,P3 alert: Application Error degradation detected on mobile-banking-api in Singapore Production at 15:50 SGT.,Internet banking session timeout set too aggressively in last release — users unable to complete multi-step transactions,Rolled back session timeout change to previous value. Scheduled proper load testing before re-deployment.,53,No,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230224-017,2023-02-24 02:46:00,P3,Payment Gateway,payment-gateway-hk,Singapore,Production,Payment Gateway issue on payment-gateway-hk — Singapore Production,P3 alert: Payment Gateway degradation detected on payment-gateway-hk in Singapore Production at 02:46 SGT.,SSL certificate expiry on payment-gateway-sg caused TLS handshake failures for all downstream consumers,Renewed SSL certificate via automation pipeline. Restarted gateway service. Verified TLS handshake successful.,82,No,2323,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230302-088,2023-03-02 07:43:00,P1,Payment Gateway,visa-adapter-sg,Singapore,Production,Payment Gateway issue on visa-adapter-sg — Singapore Production,P1 alert: Payment Gateway degradation detected on visa-adapter-sg in Singapore Production at 07:43 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",61,Yes,105,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230305-004,2023-03-05 11:54:00,P1,Batch Job,trade-settlement-batch,Singapore,Production,Batch Job issue on trade-settlement-batch — Singapore Production,P1 alert: Batch Job degradation detected on trade-settlement-batch in Singapore Production at 11:54 SGT.,"Batch scheduler misconfigured after DST change — jobs triggered 1 hour early, conflicting with live trading window",Corrected DST offset in scheduler config. Re-ran affected jobs in correct window. No data integrity issues.,30,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230308-067,2023-03-08 22:49:00,P4,Network,load-balancer-sg,Hong Kong,Production,Network issue on load-balancer-sg — Hong Kong Production,P4 alert: Network degradation detected on load-balancer-sg in Hong Kong Production at 22:49 SGT.,Load balancer health check misconfigured after deployment — incorrectly marked healthy app nodes as down,Corrected health check endpoint path in load balancer config. Deployed config — traffic redistributed correctly.,58,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230310-015,2023-03-10 20:19:00,P3,DB Connectivity,reporting-db-hk,Singapore,Staging,DB Connectivity issue on reporting-db-hk — Singapore Staging,P3 alert: DB Connectivity degradation detected on reporting-db-hk in Singapore Staging at 20:19 SGT.,Network timeout between application server and DB replica caused by VPC routing misconfiguration,Corrected VPC routing table entry. Verified connectivity between all app servers and DB replicas.,101,No,2079,Yes,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230311-066,2023-03-11 18:01:00,P2,Auth Service,mfa-service-sg,Singapore,Production,Auth Service issue on mfa-service-sg — Singapore Production,P2 alert: Auth Service degradation detected on mfa-service-sg in Singapore Production at 18:01 SGT.,OAuth provider certificate mismatch following unplanned infrastructure rotation,Updated OAuth provider certificate in keystore. Restarted service. Verified token generation functional.,27,No,1274,Yes,Mei Lin,Identity & Access Team,RB-AUTH-SVC-031
INC-20230315-043,2023-03-15 08:11:00,P2,Payment Gateway,payment-gateway-hk,Hong Kong,Production,Payment Gateway issue on payment-gateway-hk — Hong Kong Production,P2 alert: Payment Gateway degradation detected on payment-gateway-hk in Hong Kong Production at 08:11 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",45,No,113,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230317-019,2023-03-17 07:14:00,P2,FX Feed,bloomberg-feed-hk,Singapore,Production,FX Feed issue on bloomberg-feed-hk — Singapore Production,P2 alert: FX Feed degradation detected on bloomberg-feed-hk in Singapore Production at 07:14 SGT.,Bloomberg feed failover did not trigger — primary/secondary switchover config incorrect after last patching cycle,Corrected primary/secondary config in Bloomberg adapter. Triggered manual failover test. Verified automatic switchover.,12,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230329-107,2023-03-29 07:29:00,P3,Payment Gateway,visa-adapter-sg,Hong Kong,Production,Payment Gateway issue on visa-adapter-sg — Hong Kong Production,P3 alert: Payment Gateway degradation detected on visa-adapter-sg in Hong Kong Production at 07:29 SGT.,Rate limiting triggered on the gateway after batch re-submission of 2000 failed transactions within 5 minutes,Removed rate limit temporarily via gateway admin API. Re-submitted transactions in controlled batches of 100.,101,No,2388,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230401-080,2023-04-01 18:19:00,P2,Payment Gateway,payment-gateway-hk,Hong Kong,Production,Payment Gateway issue on payment-gateway-hk — Hong Kong Production,P2 alert: Payment Gateway degradation detected on payment-gateway-hk in Hong Kong Production at 18:19 SGT.,Upstream Visa adapter returned HTTP 503 due to scheduled maintenance window not communicated to NOC,Engaged Visa adapter support — confirmed maintenance window. Routed traffic to backup gateway-hk. Restored after 35 min.,13,No,621,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230406-094,2023-04-06 09:35:00,P3,SWIFT Queue,swift-gateway-sg,Singapore,Production,SWIFT Queue issue on swift-gateway-sg — Singapore Production,P3 alert: SWIFT Queue degradation detected on swift-gateway-sg in Singapore Production at 09:35 SGT.,SWIFT ACK processor deadlocked waiting for a lock held by a message redelivery thread,Restarted ACK processor — deadlock resolved on restart. Added deadlock detection timeout of 60s to config.,21,No,2907,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230407-036,2023-04-07 23:28:00,P1,Network,load-balancer-sg,Singapore,Production,Network issue on load-balancer-sg — Singapore Production,P1 alert: Network degradation detected on load-balancer-sg in Singapore Production at 23:28 SGT.,Firewall rule change during maintenance window blocked port 5432 (PostgreSQL) — undetected for 22 minutes,Reverted firewall rule change. Opened port 5432 for app-to-DB communication. Added firewall change review process.,43,Yes,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230408-007,2023-04-08 11:22:00,P2,FX Feed,fx-rate-feed-apac,Singapore,Production,FX Feed issue on fx-rate-feed-apac — Singapore Production,P2 alert: FX Feed degradation detected on fx-rate-feed-apac in Singapore Production at 11:22 SGT.,Adapter deserialization error caused by unexpected field added to Reuters FIX message schema,Applied schema update to adapter deserialization config. Restarted adapter. Verified all FX pairs publishing correctly.,21,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230409-026,2023-04-09 12:00:00,P1,Payment Gateway,payment-gateway-sg,Singapore,Production,Payment Gateway issue on payment-gateway-sg — Singapore Production,P1 alert: Payment Gateway degradation detected on payment-gateway-sg in Singapore Production at 12:00 SGT.,Rate limiting triggered on the gateway after batch re-submission of 2000 failed transactions within 5 minutes,Removed rate limit temporarily via gateway admin API. Re-submitted transactions in controlled batches of 100.,32,Yes,240,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230422-027,2023-04-22 09:13:00,P2,SWIFT Queue,swift-gateway-sg,Hong Kong,Production,SWIFT Queue issue on swift-gateway-sg — Hong Kong Production,P2 alert: SWIFT Queue degradation detected on swift-gateway-sg in Hong Kong Production at 09:13 SGT.,Expired SWIFT BIC certificate caused outbound message rejection by correspondent banks,Renewed SWIFT BIC certificate via SWIFT portal. Restarted outbound message processor. Confirmed ACKs received.,11,No,634,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230429-093,2023-04-29 08:35:00,P2,DB Connectivity,payment-db-sg-01,Hong Kong,Production,DB Connectivity issue on payment-db-sg-01 — Hong Kong Production,P2 alert: DB Connectivity degradation detected on payment-db-sg-01 in Hong Kong Production at 08:35 SGT.,Long-running query from reporting job locked critical payment tables causing cascading timeouts,Killed long-running reporting query. Added query timeout of 30s to reporting DB user profile.,16,No,211,No,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230429-030,2023-04-29 21:45:00,P2,Network,firewall-sg-01,Hong Kong,Production,Network issue on firewall-sg-01 — Hong Kong Production,P2 alert: Network degradation detected on firewall-sg-01 in Hong Kong Production at 21:45 SGT.,Firewall rule change during maintenance window blocked port 5432 (PostgreSQL) — undetected for 22 minutes,Reverted firewall rule change. Opened port 5432 for app-to-DB communication. Added firewall change review process.,28,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230502-038,2023-05-02 21:15:00,P1,Auth Service,oauth-provider-sg,Singapore,Production,Auth Service issue on oauth-provider-sg — Singapore Production,P1 alert: Auth Service degradation detected on oauth-provider-sg in Singapore Production at 21:15 SGT.,Redis session cache exhausted memory limit causing auth token validation failures,Flushed expired sessions from Redis. Increased memory limit from 4GB to 8GB. Restarted auth service.,50,Yes,1465,Yes,Mei Lin,Identity & Access Team,RB-AUTH-SVC-031
INC-20230503-010,2023-05-03 20:31:00,P2,Batch Job,trade-settlement-batch,Hong Kong,Production,Batch Job issue on trade-settlement-batch — Hong Kong Production,P2 alert: Batch Job degradation detected on trade-settlement-batch in Hong Kong Production at 20:31 SGT.,Report generation job failed — dependency on FX rate feed not available (see INC-FX-FEED cascade),Batch re-triggered after FX feed restored. Added explicit dependency check on FX feed health before batch start.,33,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230505-076,2023-05-05 23:30:00,P2,SWIFT Queue,swift-gateway-sg,Hong Kong,Production,SWIFT Queue issue on swift-gateway-sg — Hong Kong Production,P2 alert: SWIFT Queue degradation detected on swift-gateway-sg in Hong Kong Production at 23:30 SGT.,SWIFT ACK processor deadlocked waiting for a lock held by a message redelivery thread,Restarted ACK processor — deadlock resolved on restart. Added deadlock detection timeout of 60s to config.,25,No,784,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230511-104,2023-05-11 23:05:00,P1,Application Error,teller-app-sg,Singapore,Production,Application Error issue on teller-app-sg — Singapore Production,P1 alert: Application Error degradation detected on teller-app-sg in Singapore Production at 23:05 SGT.,Teller app dependency on internal pricing service timing out — pricing service circuit breaker not configured,Configured circuit breaker timeout for pricing service dependency. Added fallback response. Re-deployed mobile API.,35,Yes,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230519-071,2023-05-19 14:36:00,P3,Batch Job,eod-reconciliation,Singapore,Production,Batch Job issue on eod-reconciliation — Singapore Production,P3 alert: Batch Job degradation detected on eod-reconciliation in Singapore Production at 14:36 SGT.,"Batch scheduler misconfigured after DST change — jobs triggered 1 hour early, conflicting with live trading window",Corrected DST offset in scheduler config. Re-ran affected jobs in correct window. No data integrity issues.,98,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230521-064,2023-05-21 06:53:00,P2,DB Connectivity,core-banking-db-sg,Singapore,Production,DB Connectivity issue on core-banking-db-sg — Singapore Production,P2 alert: DB Connectivity degradation detected on core-banking-db-sg in Singapore Production at 06:53 SGT.,DB connection pool exhaustion due to spike in concurrent settlement requests during APAC market open,Increased DB connection pool size from 200 to 400. Recycled stale connections. Monitored for 15 min — stable.,9,No,127,No,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230524-063,2023-05-24 02:30:00,P2,Application Error,internet-banking-sg,Singapore,Production,Application Error issue on internet-banking-sg — Singapore Production,P2 alert: Application Error degradation detected on internet-banking-sg in Singapore Production at 02:30 SGT.,Unhandled exception in account statement generation caused cascading 500 errors across the mobile banking API,Fixed unhandled exception in statement generator. Added global exception handler. Deployed and verified stable.,9,No,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230528-062,2023-05-28 12:20:00,P2,DB Connectivity,payment-db-sg-01,Hong Kong,Production,DB Connectivity issue on payment-db-sg-01 — Hong Kong Production,P2 alert: DB Connectivity degradation detected on payment-db-sg-01 in Hong Kong Production at 12:20 SGT.,Network timeout between application server and DB replica caused by VPC routing misconfiguration,Corrected VPC routing table entry. Verified connectivity between all app servers and DB replicas.,21,No,205,No,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230606-021,2023-06-06 21:31:00,P3,FX Feed,fx-rate-feed-apac,Singapore,Production,FX Feed issue on fx-rate-feed-apac — Singapore Production,P3 alert: FX Feed degradation detected on fx-rate-feed-apac in Singapore Production at 21:31 SGT.,FX rate feed latency exceeded 5s SLA due to network congestion on cross-border Singapore-HK link,Temporarily rerouted feed via HK-Tokyo link. Engaged network team to resolve SG-HK congestion. Restored in 25 min.,47,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230608-034,2023-06-08 19:13:00,P2,Payment Gateway,payment-gateway-sg,Singapore,Production,Payment Gateway issue on payment-gateway-sg — Singapore Production,P2 alert: Payment Gateway degradation detected on payment-gateway-sg in Singapore Production at 19:13 SGT.,SSL certificate expiry on payment-gateway-sg caused TLS handshake failures for all downstream consumers,Renewed SSL certificate via automation pipeline. Restarted gateway service. Verified TLS handshake successful.,53,No,1115,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230610-048,2023-06-10 06:27:00,P2,Auth Service,mfa-service-sg,Singapore,Production,Auth Service issue on mfa-service-sg — Singapore Production,P2 alert: Auth Service degradation detected on mfa-service-sg in Singapore Production at 06:27 SGT.,Redis session cache exhausted memory limit causing auth token validation failures,Flushed expired sessions from Redis. Increased memory limit from 4GB to 8GB. Restarted auth service.,58,No,1244,Yes,Mei Lin,Identity & Access Team,RB-AUTH-SVC-031
INC-20230610-056,2023-06-10 07:17:00,P2,SWIFT Queue,swift-ack-processor,Hong Kong,Production,SWIFT Queue issue on swift-ack-processor — Hong Kong Production,P2 alert: SWIFT Queue degradation detected on swift-ack-processor in Hong Kong Production at 07:17 SGT.,SWIFT MQ broker ran out of disk space — message persistence log filled /var/mqm partition to 100%,"Cleared old message persistence logs from /var/mqm (freed 80GB). Restarted MQ broker. Processed 1,400 queued messages.",29,No,2922,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230611-084,2023-06-11 22:18:00,P3,Network,load-balancer-sg,Singapore,Production,Network issue on load-balancer-sg — Singapore Production,P3 alert: Network degradation detected on load-balancer-sg in Singapore Production at 22:18 SGT.,Load balancer health check misconfigured after deployment — incorrectly marked healthy app nodes as down,Corrected health check endpoint path in load balancer config. Deployed config — traffic redistributed correctly.,109,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230614-014,2023-06-14 13:10:00,P3,DB Connectivity,reporting-db-hk,Hong Kong,Production,DB Connectivity issue on reporting-db-hk — Hong Kong Production,P3 alert: DB Connectivity degradation detected on reporting-db-hk in Hong Kong Production at 13:10 SGT.,DB failover not triggered automatically after primary node CPU saturation exceeded 95%,Manually triggered failover to DB replica. Investigated and resolved CPU saturation. Failed back after 40 min.,78,No,456,No,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230626-103,2023-06-26 20:45:00,P3,Batch Job,report-generation-job,Singapore,Production,Batch Job issue on report-generation-job — Singapore Production,P3 alert: Batch Job degradation detected on report-generation-job in Singapore Production at 20:45 SGT.,"Batch scheduler misconfigured after DST change — jobs triggered 1 hour early, conflicting with live trading window",Corrected DST offset in scheduler config. Re-ran affected jobs in correct window. No data integrity issues.,117,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230706-060,2023-07-06 21:43:00,P2,FX Feed,reuters-adapter-sg,Singapore,Production,FX Feed issue on reuters-adapter-sg — Singapore Production,P2 alert: FX Feed degradation detected on reuters-adapter-sg in Singapore Production at 21:43 SGT.,Bloomberg feed failover did not trigger — primary/secondary switchover config incorrect after last patching cycle,Corrected primary/secondary config in Bloomberg adapter. Triggered manual failover test. Verified automatic switchover.,59,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230714-075,2023-07-14 22:29:00,P2,Batch Job,trade-settlement-batch,Singapore,Production,Batch Job issue on trade-settlement-batch — Singapore Production,P2 alert: Batch Job degradation detected on trade-settlement-batch in Singapore Production at 22:29 SGT.,Report generation job failed — dependency on FX rate feed not available (see INC-FX-FEED cascade),Batch re-triggered after FX feed restored. Added explicit dependency check on FX feed health before batch start.,25,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230715-072,2023-07-15 08:21:00,P1,Network,load-balancer-sg,Singapore,Production,Network issue on load-balancer-sg — Singapore Production,P1 alert: Network degradation detected on load-balancer-sg in Singapore Production at 08:21 SGT.,Load balancer health check misconfigured after deployment — incorrectly marked healthy app nodes as down,Corrected health check endpoint path in load balancer config. Deployed config — traffic redistributed correctly.,25,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230720-045,2023-07-20 13:04:00,P1,FX Feed,reuters-adapter-sg,Singapore,Production,FX Feed issue on reuters-adapter-sg — Singapore Production,P1 alert: FX Feed degradation detected on reuters-adapter-sg in Singapore Production at 13:04 SGT.,FX rate feed latency exceeded 5s SLA due to network congestion on cross-border Singapore-HK link,Temporarily rerouted feed via HK-Tokyo link. Engaged network team to resolve SG-HK congestion. Restored in 25 min.,50,Yes,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230802-058,2023-08-02 18:44:00,P2,Network,load-balancer-sg,Singapore,Production,Network issue on load-balancer-sg — Singapore Production,P2 alert: Network degradation detected on load-balancer-sg in Singapore Production at 18:44 SGT.,VPC peering route table not updated after subnet expansion — new app nodes unreachable from DB tier,Updated VPC route table with correct CIDR for new subnets. Verified connectivity from all new app nodes to DB tier.,9,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230804-061,2023-08-04 18:36:00,P1,Network,firewall-sg-01,Singapore,Production,Network issue on firewall-sg-01 — Singapore Production,P1 alert: Network degradation detected on firewall-sg-01 in Singapore Production at 18:36 SGT.,BGP route flap on transit link caused 90-second packet loss affecting all prod services in SG region,BGP route flap self-resolved after 90s. Added BGP flap dampening config to prevent recurrence.,50,Yes,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230807-042,2023-08-07 10:17:00,P2,Application Error,internet-banking-sg,Hong Kong,Production,Application Error issue on internet-banking-sg — Hong Kong Production,P2 alert: Application Error degradation detected on internet-banking-sg in Hong Kong Production at 10:17 SGT.,Internet banking session timeout set too aggressively in last release — users unable to complete multi-step transactions,Rolled back session timeout change to previous value. Scheduled proper load testing before re-deployment.,63,Yes,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230812-090,2023-08-12 10:20:00,P2,Auth Service,mfa-service-sg,Singapore,Staging,Auth Service issue on mfa-service-sg — Singapore Staging,P2 alert: Auth Service degradation detected on mfa-service-sg in Singapore Staging at 10:20 SGT.,Auth service pod OOMKilled in Kubernetes — memory limit set too low for peak load,Increased pod memory limit from 512Mi to 1Gi. Rolled out new pod spec. Confirmed stable under load.,50,No,1425,Yes,Mei Lin,Identity & Access Team,RB-AUTH-SVC-031
INC-20230815-051,2023-08-15 20:36:00,P4,DB Connectivity,payment-db-sg-01,Hong Kong,Production,DB Connectivity issue on payment-db-sg-01 — Hong Kong Production,P4 alert: DB Connectivity degradation detected on payment-db-sg-01 in Hong Kong Production at 20:36 SGT.,DB connection pool exhaustion due to spike in concurrent settlement requests during APAC market open,Increased DB connection pool size from 200 to 400. Recycled stale connections. Monitored for 15 min — stable.,44,No,1865,Yes,Priya Nair,DB Operations Team,RB-DB-CONN-042
INC-20230820-085,2023-08-20 03:34:00,P3,Application Error,mobile-banking-api,Singapore,Production,Application Error issue on mobile-banking-api — Singapore Production,P3 alert: Application Error degradation detected on mobile-banking-api in Singapore Production at 03:34 SGT.,Internet banking session timeout set too aggressively in last release — users unable to complete multi-step transactions,Rolled back session timeout change to previous value. Scheduled proper load testing before re-deployment.,48,No,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230831-098,2023-08-31 17:30:00,P2,SWIFT Queue,swift-mq-sg-01,Singapore,Production,SWIFT Queue issue on swift-mq-sg-01 — Singapore Production,P2 alert: SWIFT Queue degradation detected on swift-mq-sg-01 in Singapore Production at 17:30 SGT.,Expired SWIFT BIC certificate caused outbound message rejection by correspondent banks,Renewed SWIFT BIC certificate via SWIFT portal. Restarted outbound message processor. Confirmed ACKs received.,30,No,608,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230902-055,2023-09-02 08:48:00,P2,Network,firewall-sg-01,Hong Kong,Production,Network issue on firewall-sg-01 — Hong Kong Production,P2 alert: Network degradation detected on firewall-sg-01 in Hong Kong Production at 08:48 SGT.,VPC peering route table not updated after subnet expansion — new app nodes unreachable from DB tier,Updated VPC route table with correct CIDR for new subnets. Verified connectivity from all new app nodes to DB tier.,23,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230905-096,2023-09-05 17:09:00,P3,SWIFT Queue,swift-ack-processor,Singapore,Production,SWIFT Queue issue on swift-ack-processor — Singapore Production,P3 alert: SWIFT Queue degradation detected on swift-ack-processor in Singapore Production at 17:09 SGT.,Expired SWIFT BIC certificate caused outbound message rejection by correspondent banks,Renewed SWIFT BIC certificate via SWIFT portal. Restarted outbound message processor. Confirmed ACKs received.,69,No,998,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230928-087,2023-09-28 17:31:00,P2,Application Error,mobile-banking-api,Singapore,Production,Application Error issue on mobile-banking-api — Singapore Production,P2 alert: Application Error degradation detected on mobile-banking-api in Singapore Production at 17:31 SGT.,Teller app dependency on internal pricing service timing out — pricing service circuit breaker not configured,Configured circuit breaker timeout for pricing service dependency. Added fallback response. Re-deployed mobile API.,36,No,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20231001-046,2023-10-01 09:42:00,P2,Batch Job,report-generation-job,Singapore,Production,Batch Job issue on report-generation-job — Singapore Production,P2 alert: Batch Job degradation detected on report-generation-job in Singapore Production at 09:42 SGT.,Report generation job failed — dependency on FX rate feed not available (see INC-FX-FEED cascade),Batch re-triggered after FX feed restored. Added explicit dependency check on FX feed health before batch start.,34,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20231001-068,2023-10-01 20:21:00,P3,Payment Gateway,visa-adapter-sg,Singapore,Production,Payment Gateway issue on visa-adapter-sg — Singapore Production,P3 alert: Payment Gateway degradation detected on visa-adapter-sg in Singapore Production at 20:21 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",21,No,282,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
